"site_id","survey_no","sp_rich","overall_abundance","hollow_sp_rich","hollow_use_abundance","rw_pres","big_tree_count","p_ground_grass","p_low_shrubs","p_midstorey","area","tree_canopy_pct_200m","mt_count_200m","built_pct_200m","suburb","dev_status"
"C01",1,3,4,2,2,"Y",0,35.7142857142857,21.4285714285714,35.7142857142857,1289.33209,0.030949255825016,7,0.718607306202769,"Casey","Developed"
"C02",1,3,6,1,2,"Y",1,52.9411764705882,0,17.6470588235294,1702.72829,0.0562834401293488,12,0.822584465337285,"Casey","Developed"
"C03",1,1,1,1,1,"N",0,62.5,12.5,25,671.45757,0.0833461891935329,1,0.714361220943727,"Casey","Developed"
"C04",1,2,2,1,1,"N",0,40,20,20,496.42364,0.100603877315395,9,0.712820826167901,"Casey","Developed"
"C05",1,3,4,1,2,"Y",2,90,30,20,1033.64505,0.152977256913012,20,0.549294987924887,"Casey","Developed"
"C06",1,0,0,0,0,"N",0,80,20,20,366.22848,0.0982121200925126,5,0.729549010874729,"Casey","Developed"
"C07",1,4,7,3,5,"N",1,76.9230769230769,23.0769230769231,0,1262.49457,0.103683485981056,11,0.690252514044468,"Casey","Developed"
"C08",1,4,8,3,7,"Y",1,64.2857142857143,14.2857142857143,21.4285714285714,1335.4353,0.148796715862565,22,0.58097112342168,"Casey","Developed"
"C09",1,3,3,1,1,"Y",1,55.5555555555556,0,29.6296296296296,2635.36755,0.049579019901958,6,0.906032502193729,"Casey","Developed"
"M01",1,5,9,2,2,"Y",3,42.3076923076923,19.2307692307692,42.3076923076923,2784.50729,0.0507677984038588,0,0.848019735062955,"MacGregor","Developed"
"M02",1,7,17,1,3,"Y",0,22.5,17.5,40,4003.56266,0.067560537030095,1,0.763481397797072,"MacGregor","Developed"
"M03",1,3,5,1,1,"Y",0,13.5135135135135,8.10810810810811,40.5405405405405,3706.89354,0.0656800567193812,0,0.713170618359566,"MacGregor","Developed"
"M04",1,6,9,2,3,"Y",0,100,0,14.2857142857143,1500.1327,0.104952595735951,0,0.765528359568671,"MacGregor","Developed"
"M05",1,3,8,0,0,"Y",1,12.5,75,75,862.30952,0.0615176646779757,0,0.715291935655868,"MacGregor","Developed"
"M06",1,6,12,1,4,"Y",1,80,17.5,15,3951.90272,0.123969183702978,0,0.459094019745073,"MacGregor","Developed"
"M07",1,4,10,0,0,"Y",0,46.4285714285714,28.5714285714286,42.8571428571429,2685.38723,0.0678465444123035,0,0.732220029198539,"MacGregor","Developed"
"M08",1,2,8,2,8,"N",0,68.4210526315789,15.7894736842105,36.8421052631579,2105.41832,0.0753474195664574,4,0.0967557213590297,"MacGregor","Undeveloped"
"M09",1,4,7,0,0,"N",0,92.3076923076923,30.7692307692308,30.7692307692308,1335.83832,0.0211011803858743,0,0.184197379978784,"MacGregor","Undeveloped"
"M10",1,3,3,1,1,"Y",0,68.1818181818182,9.09090909090909,36.3636363636364,2207.28075,0.0813805700804544,2,0.148964759214908,"MacGregor","Undeveloped"
"M11",1,2,4,0,0,"N",0,89.4736842105263,57.8947368421053,31.5789473684211,1966.66646,0.170473221932728,2,0.171523209054185,"MacGregor","Undeveloped"
"M12",1,1,1,0,0,"N",0,100,11.1111111111111,22.2222222222222,883.04548,0.1498507746466,0,0.288301956105749,"MacGregor","Undeveloped"
"M13",1,2,4,0,0,"N",0,50,25,37.5,891.77495,0.0503972039276044,0,0.291122978510725,"MacGregor","Undeveloped"
"S01",1,4,7,4,7,"N",1,53.8461538461538,7.69230769230769,0,1214.72763,0.0077091416893539,4,0.920725707791054,"Strathnairn","Developed"
"S02",1,3,7,2,6,"N",1,0,28.5714285714286,14.2857142857143,642.46753,0.0179908218589071,9,0.856754582052537,"Strathnairn","Developed"
"S03",1,3,5,2,4,"N",1,85.7142857142857,14.2857142857143,0,720.25594,0.011499579815142,6,0.90689628344022,"Strathnairn","Developed"
"S04",1,3,6,2,4,"N",1,55.5555555555556,44.4444444444444,0,887.4848,0.0205803757002577,10,0.828082115785429,"Strathnairn","Developed"
"S05",1,1,2,1,2,"N",2,3.57142857142857,50,10.7142857142857,2633.97906,0.0126031029805122,3,0.935449067975713,"Strathnairn","Developed"
"S06",1,3,8,3,8,"N",1,83.3333333333333,16.6666666666667,0,786.85437,0.020282588515845,6,0.923571965863086,"Strathnairn","Developed"
"S07",1,5,13,2,6,"N",2,0,68.4210526315789,5.26315789473684,1687.90847,0.0299360865052971,9,0.635141138545723,"Strathnairn","Developed"
"S08",1,2,4,1,2,"Y",0,11.7647058823529,52.9411764705882,23.5294117647059,1897.90192,0.129929059273455,8,0.423183886729654,"Strathnairn","Developed"
"S09",1,9,20,8,19,"N",3,100,8.69565217391304,17.3913043478261,2113.42267,0.0480576528931695,9,0.0548362785578174,"Strathnairn","Undeveloped"
"S10",1,2,3,1,2,"N",0,100,37.5,12.5,837.22472,0.0720438280048851,16,0.0440193264891603,"Strathnairn","Undeveloped"
"S11",1,8,19,6,15,"N",2,100,33.3333333333333,8.33333333333333,2218.54321,0.0741349395358365,18,0.162018059678601,"Strathnairn","Undeveloped"
"S12",1,9,20,5,14,"N",2,100,29.6296296296296,3.7037037037037,2637.33389,0.0714632132775364,17,0.0176418922713283,"Strathnairn","Undeveloped"
"S13",1,13,32,8,21,"N",5,93.6170212765958,29.7872340425532,10.6382978723404,4866.25511,0.112222077345414,13,0.511951587464447,"Strathnairn","Undeveloped"
"S14",1,10,18,5,10,"N",5,89.1891891891892,43.2432432432432,18.9189189189189,3874.56754,0.10950575838305,20,0.778776927992381,"Strathnairn","Undeveloped"
"C01",2,2,3,1,1,"Y",0,35.7142857142857,21.4285714285714,35.7142857142857,1289.33209,0.030949255825016,7,0.718607306202769,"Casey","Developed"
"C02",2,3,4,2,3,"Y",1,52.9411764705882,0,17.6470588235294,1702.72829,0.0562834401293488,12,0.822584465337285,"Casey","Developed"
"C03",2,3,3,1,1,"Y",0,62.5,12.5,25,671.45757,0.0833461891935329,1,0.714361220943727,"Casey","Developed"
"C04",2,0,0,0,0,"N",0,40,20,20,496.42364,0.100603877315395,9,0.712820826167901,"Casey","Developed"
"C05",2,3,6,2,5,"N",2,90,30,20,1033.64505,0.152977256913012,20,0.549294987924887,"Casey","Developed"
"C06",2,2,2,0,0,"N",0,80,20,20,366.22848,0.0982121200925126,5,0.729549010874729,"Casey","Developed"
"C07",2,4,9,1,2,"Y",1,76.9230769230769,23.0769230769231,0,1262.49457,0.103683485981056,11,0.690252514044468,"Casey","Developed"
"C08",2,1,2,0,0,"Y",1,64.2857142857143,14.2857142857143,21.4285714285714,1335.4353,0.148796715862565,22,0.58097112342168,"Casey","Developed"
"C09",2,2,4,1,2,"Y",1,55.5555555555556,0,29.6296296296296,2635.36755,0.049579019901958,6,0.906032502193729,"Casey","Developed"
"M01",2,3,9,0,0,"Y",3,42.3076923076923,19.2307692307692,42.3076923076923,2784.50729,0.0507677984038588,0,0.848019735062955,"MacGregor","Developed"
"M02",2,5,11,1,3,"Y",0,22.5,17.5,40,4003.56266,0.067560537030095,1,0.763481397797072,"MacGregor","Developed"
"M03",2,4,6,1,1,"Y",0,13.5135135135135,8.10810810810811,40.5405405405405,3706.89354,0.0656800567193812,0,0.713170618359566,"MacGregor","Developed"
"M04",2,3,5,0,0,"Y",0,100,0,14.2857142857143,1500.1327,0.104952595735951,0,0.765528359568671,"MacGregor","Developed"
"M05",2,3,5,0,0,"Y",1,12.5,75,75,862.30952,0.0615176646779757,0,0.715291935655868,"MacGregor","Developed"
"M06",2,7,15,2,4,"Y",1,80,17.5,15,3951.90272,0.123969183702978,0,0.459094019745073,"MacGregor","Developed"
"M07",2,5,8,1,2,"Y",0,46.4285714285714,28.5714285714286,42.8571428571429,2685.38723,0.0678465444123035,0,0.732220029198539,"MacGregor","Developed"
"M08",2,1,3,0,0,"Y",0,68.4210526315789,15.7894736842105,36.8421052631579,2105.41832,0.0753474195664574,4,0.0967557213590297,"MacGregor","Undeveloped"
"M09",2,3,5,0,0,"N",0,92.3076923076923,30.7692307692308,30.7692307692308,1335.83832,0.0211011803858743,0,0.184197379978784,"MacGregor","Undeveloped"
"M10",2,4,7,2,2,"Y",0,68.1818181818182,9.09090909090909,36.3636363636364,2207.28075,0.0813805700804544,2,0.148964759214908,"MacGregor","Undeveloped"
"M11",2,1,3,1,3,"N",0,89.4736842105263,57.8947368421053,31.5789473684211,1966.66646,0.170473221932728,2,0.171523209054185,"MacGregor","Undeveloped"
"M12",2,2,2,1,1,"Y",0,100,11.1111111111111,22.2222222222222,883.04548,0.1498507746466,0,0.288301956105749,"MacGregor","Undeveloped"
"M13",2,0,0,0,0,"N",0,50,25,37.5,891.77495,0.0503972039276044,0,0.291122978510725,"MacGregor","Undeveloped"
"S01",2,4,6,3,5,"N",1,53.8461538461538,7.69230769230769,0,1214.72763,0.0077091416893539,4,0.920725707791054,"Strathnairn","Developed"
"S02",2,1,1,0,0,"N",1,0,28.5714285714286,14.2857142857143,642.46753,0.0179908218589071,9,0.856754582052537,"Strathnairn","Developed"
"S03",2,2,3,1,2,"N",1,85.7142857142857,14.2857142857143,0,720.25594,0.011499579815142,6,0.90689628344022,"Strathnairn","Developed"
"S04",2,1,2,0,0,"N",1,55.5555555555556,44.4444444444444,0,887.4848,0.0205803757002577,10,0.828082115785429,"Strathnairn","Developed"
"S05",2,2,8,1,5,"N",2,3.57142857142857,50,10.7142857142857,2633.97906,0.0126031029805122,3,0.935449067975713,"Strathnairn","Developed"
